order_id,order_date,customer_id,area,tiffin_type,meal_type,order_time,delivery_partner,delivery_distance_km,prep_time_min,delivery_time_min,quantity,discount,order_amount,payment_method,order_status,customer_rating,complaint,,,,,
14,02-05-2025,C016,Gachibowli,Veg,Breakfast,07:40:00,Amit,4.9,22,36,1,15,65,UPI,Delivered,1,No,,,prep_time_min,,time
15,13-05-2025,C122,Gachibowli,Veg,Breakfast,08:30:00,Imran,4.2,16,21,1,0,80,Wallet,Late,5,No,,,delivery_time_min,,time
16,25-04-2025,C026,Madhapur,Veg,Breakfast,07:45:00,Naveen,2.9,15,39,1,20,60,Card,Delivered,5,No,,,quantity,num,
17,14-04-2025,C020,Secunderabad,Veg,Breakfast,08:20:00,Amit,5.3,8,38,1,0,80,UPI,Delivered,4,No,,,discount,num,
18,23-06-2025,C103,Uppal,Jain,Dinner,18:10:00,Rahul,3.7,13,37,2,0,290,Cash,Delivered,4,No,,,order_amount,,num
19,19-05-2025,C143,Manikonda,Jain,Breakfast,10:30:00,Imran,6.8,23,31,2,0,190,Cash,Delivered,5,No,,,payment_method,,varchar
20,25-04-2025,C129,Uppal,Veg,Lunch,12:00:00,Suresh,3.8,19,40,1,20,100,UPI,Delivered,2,No,,,order_status,,varchar
21,05-06-2025,C064,Jubilee Hills,Veg,Breakfast,08:10:00,Rahul,3.4,16,22,2,0,160,UPI,Delivered,3,No,,,customer_rating,,num
22,24-05-2025,C077,Secunderabad,Veg,Dinner,20:30:00,Kiran,1.9,22,39,2,0,260,UPI,Delivered,4,No,,,complaint,,varchar
23,02-04-2025,C095,Kukatpally,Veg,Lunch,11:10:00,Suresh,4.3,24,36,1,0,120,Wallet,Delivered,5,No,,,,,
24,09-06-2025,C030,Uppal,Veg,Dinner,20:00:00,Amit,3.1,20,43,1,20,110,Cash,Delivered,5,No,,,,,
25,05-05-2025,C014,Hitech City,Veg,Lunch,12:40:00,Naveen,4.4,27,12,1,0,120,Card,Cancelled,0,No,,,,,
26,06-04-2025,C003,Hitech City,Veg,Breakfast,09:15:00,Amit,6.3,18,35,1,20,60,Cash,Delivered,5,No,,,,,
27,09-06-2025,C064,Manikonda,Veg,Breakfast,09:15:00,Amit,4.7,8,32,1,0,80,Card,Delivered,5,No,,,,,
28,11-06-2025,C086,Dilsukhnagar,Non-Veg,Lunch,12:20:00,Naveen,5.3,26,31,3,0,465,Cash,Delivered,2,No,,,,,
29,05-05-2025,C079,LB Nagar,Non-Veg,Breakfast,07:45:00,Vikram,2.7,14,37,2,0,230,Cash,Delivered,5,No,,,,,
30,04-04-2025,C138,Ameerpet,Veg,Dinner,19:45:00,Rahul,5.2,14,39,2,0,260,UPI,Delivered,5,No,,,,,
31,04-05-2025,C030,Begumpet,Veg,Breakfast,09:00:00,Vikram,4.7,23,28,1,20,60,Card,Delivered,4,No,,,,,
32,06-04-2025,C051,Ameerpet,Veg,Dinner,21:00:00,Naveen,3.8,15,20,2,20,240,UPI,Late,5,No,,,,,
33,25-06-2025,C076,Banjara Hills,Non-Veg,Lunch,13:10:00,Suresh,5.2,19,35,1,0,155,Cash,Late,4,No,,,,,
34,24-05-2025,C149,Jubilee Hills,Veg,Dinner,21:15:00,Kiran,4,9,29,1,15,115,Wallet,Delivered,4,No,,,,,
35,27-05-2025,C086,Hitech City,Non-Veg,Lunch,12:50:00,Vikram,3.7,13,31,3,20,445,Card,Delivered,5,No,,,,,
36,29-04-2025,C148,Gachibowli,Veg,Breakfast,08:00:00,Naveen,5.4,29,37,4,15,305,Wallet,Delivered,4,No,,,,,
37,22-05-2025,C133,Secunderabad,Non-Veg,Breakfast,08:00:00,Rahul,5.1,17,19,2,0,230,Cash,Delivered,4,No,,,,,
38,16-04-2025,C130,Begumpet,Veg,Lunch,12:50:00,Imran,4.4,18,53,4,15,465,Cash,Delivered,5,No,,,,,
39,31-05-2025,C020,Miyapur,Non-Veg,Lunch,13:20:00,Arun,4.1,19,32,1,15,140,Cash,Delivered,5,No,,,,,
40,05-05-2025,C105,Ameerpet,Veg,Lunch,13:10:00,Imran,1.9,24,34,1,20,100,Wallet,Delivered,5,Yes,,,,,
41,08-04-2025,C098,Secunderabad,Jain,Breakfast,10:45:00,Rahul,6.2,12,48,1,20,75,Card,Delivered,5,No,,,,,
42,09-05-2025,C104,Miyapur,Veg,Lunch,14:20:00,Suresh,1.4,21,45,1,10,110,Wallet,Delivered,4,No,,,,,
43,17-04-2025,C047,Madhapur,Veg,Dinner,18:45:00,Arun,2.3,14,30,2,0,260,Wallet,Late,4,No,,,,,
44,12-05-2025,C005,Miyapur,Veg,Breakfast,10:40:00,Rahul,3.4,8,32,2,0,160,Card,Delivered,4,No,,,,,
45,29-04-2025,C122,Manikonda,Non-Veg,Dinner,18:00:00,Amit,2.2,20,22,3,0,495,Cash,Delivered,5,No,,,,,
46,30-05-2025,C080,Hitech City,Veg,Dinner,20:40:00,Rahul,7.9,13,38,1,20,110,Card,Late,3,No,,,,,
47,13-06-2025,C078,LB Nagar,Jain,Dinner,21:45:00,Amit,6.3,10,39,1,15,130,UPI,Late,5,No,,,,,
48,15-05-2025,C093,Manikonda,Veg,Dinner,21:40:00,Imran,7.4,8,41,1,0,130,Cash,Delivered,5,No,,,,,
49,26-05-2025,C023,Kukatpally,Veg,Breakfast,09:50:00,Imran,5.1,22,25,2,15,145,Cash,Delivered,4,No,,,,,
50,30-05-2025,C088,Kukatpally,Veg,Dinner,21:40:00,Arun,1.6,21,30,2,0,260,UPI,Delivered,4,No,,,,,
51,06-06-2025,C115,Dilsukhnagar,Non-Veg,Breakfast,07:20:00,Rahul,5.1,20,29,1,0,115,UPI,Late,4,No,,,,,
52,08-05-2025,C109,Miyapur,Veg,Breakfast,10:20:00,Kiran,5,19,29,1,10,70,Card,Cancelled,0,No,,,,,
53,29-06-2025,C048,Gachibowli,Veg,Lunch,13:30:00,Vikram,8.6,20,32,1,0,120,Wallet,Delivered,3,No,,,,,
54,06-05-2025,C033,Kukatpally,Non-Veg,Dinner,20:10:00,Rahul,5.9,12,43,1,0,165,UPI,Delivered,4,No,,,,,
55,10-06-2025,C014,Kukatpally,Veg,Lunch,12:50:00,Imran,7,13,46,1,0,120,UPI,Delivered,4,No,,,,,
56,09-04-2025,C022,Gachibowli,Veg,Lunch,14:10:00,Amit,5.4,22,50,2,0,240,Wallet,Delivered,5,No,,,,,
57,17-06-2025,C026,Dilsukhnagar,Veg,Dinner,19:45:00,Vikram,4,13,25,1,15,115,Cash,Delivered,4,No,,,,,
58,04-05-2025,C121,Kukatpally,Veg,Dinner,18:15:00,Rahul,2.7,17,33,1,0,130,Cash,Delivered,4,No,,,,,
59,07-05-2025,C051,Begumpet,Veg,Dinner,20:50:00,Amit,5.1,22,35,1,0,130,Cash,Late,5,No,,,,,
60,22-06-2025,C146,Uppal,Veg,Breakfast,09:15:00,Arun,7.7,16,62,1,0,80,Wallet,Cancelled,0,No,,,,,
61,16-04-2025,C111,Miyapur,Jain,Lunch,13:45:00,Kiran,5.9,12,28,1,10,125,Card,Delivered,3,Yes,,,,,
62,04-04-2025,C045,Secunderabad,Jain,Breakfast,08:00:00,Imran,5.6,16,41,2,0,190,Card,Cancelled,0,Yes,,,,,
63,24-04-2025,C042,Ameerpet,Jain,Dinner,21:50:00,Naveen,5.5,17,29,1,10,135,Wallet,Delivered,4,No,,,,,
64,07-05-2025,C132,LB Nagar,Veg,Dinner,21:00:00,Rahul,1.2,15,34,1,0,130,Wallet,Delivered,5,No,,,,,
65,23-05-2025,C074,Secunderabad,Veg,Breakfast,08:40:00,Imran,5,10,36,1,10,70,UPI,Delivered,4,No,,,,,
66,04-04-2025,C030,Secunderabad,Veg,Dinner,19:15:00,Amit,5.3,12,36,1,10,120,Cash,Delivered,4,No,,,,,
67,03-06-2025,C049,Uppal,Veg,Dinner,20:30:00,Suresh,4.6,11,37,1,10,120,UPI,Delivered,4,No,,,,,
68,06-05-2025,C126,LB Nagar,Non-Veg,Lunch,13:30:00,Suresh,5.7,24,44,1,0,155,Wallet,Cancelled,0,No,,,,,
69,08-06-2025,C062,Jubilee Hills,Veg,Lunch,13:40:00,Naveen,1.5,12,32,1,10,110,Cash,Delivered,5,No,,,,,
70,23-05-2025,C039,Secunderabad,Non-Veg,Breakfast,09:50:00,Rahul,5.6,21,65,2,10,220,Cash,Late,5,No,,,,,
71,04-06-2025,C040,Hitech City,Non-Veg,Dinner,20:10:00,Imran,5.8,24,44,1,15,150,Card,Delivered,1,No,,,,,
72,14-05-2025,C125,LB Nagar,Non-Veg,Dinner,21:10:00,Rahul,5.9,16,42,2,0,315,UPI,Delivered,5,No,,,,,
73,01-05-2025,C043,Miyapur,Non-Veg,Dinner,20:20:00,Arun,2.8,16,26,1,0,165,UPI,Late,5,No,,,,,
74,06-04-2025,C047,Kondapur,Veg,Lunch,11:30:00,Suresh,4.7,31,19,1,0,120,UPI,Cancelled,0,No,,,,,
75,18-06-2025,C003,Uppal,Jain,Lunch,12:50:00,Imran,6,8,33,1,10,125,Card,Late,4,No,,,,,
76,26-06-2025,C065,Secunderabad,Veg,Dinner,19:10:00,Arun,6.9,18,30,1,15,115,Cash,Delivered,5,No,,,,,
77,20-05-2025,C102,Kukatpally,Veg,Lunch,11:20:00,Rahul,2.9,22,24,1,0,120,UPI,Late,4,No,,,,,
78,17-06-2025,C036,Manikonda,Non-Veg,Dinner,21:30:00,Amit,5,18,29,1,0,165,UPI,Delivered,5,No,,,,,
79,10-05-2025,C034,Dilsukhnagar,Non-Veg,Lunch,11:40:00,Kiran,9.2,21,27,1,0,155,Card,Delivered,5,No,,,,,
80,22-04-2025,C058,LB Nagar,Non-Veg,Lunch,14:30:00,Naveen,4.9,14,41,1,0,155,Card,Delivered,5,No,,,,,
81,12-04-2025,C096,Hitech City,Veg,Lunch,11:30:00,Vikram,2.8,17,34,1,20,100,Wallet,Late,5,No,,,,,
82,04-04-2025,C036,Madhapur,Veg,Dinner,20:20:00,Rahul,6.4,10,35,1,10,120,Card,Late,4,No,,,,,
83,03-06-2025,C139,Begumpet,Non-Veg,Breakfast,07:20:00,Suresh,3.5,14,46,1,10,105,Wallet,Delivered,5,No,,,,,
84,23-06-2025,C061,LB Nagar,Jain,Breakfast,10:45:00,Kiran,5.4,10,43,1,20,75,UPI,Delivered,4,No,,,,,
85,27-06-2025,C006,Madhapur,Veg,Lunch,13:00:00,Kiran,9.2,24,31,1,0,120,Cash,Delivered,3,No,,,,,
86,17-04-2025,C038,Dilsukhnagar,Non-Veg,Dinner,19:10:00,Rahul,3.4,25,26,1,15,150,Card,Delivered,5,No,,,,,
87,19-04-2025,C083,Madhapur,Veg,Breakfast,09:15:00,Suresh,5.5,22,28,2,0,160,Card,Delivered,4,No,,,,,
88,07-04-2025,C116,Banjara Hills,Non-Veg,Breakfast,10:10:00,Vikram,4.4,8,25,1,0,115,UPI,Cancelled,0,No,,,,,
89,24-06-2025,C114,Hitech City,Veg,Dinner,20:50:00,Amit,3.9,10,45,1,10,120,Card,Delivered,4,No,,,,,
90,17-06-2025,C136,Kukatpally,Veg,Breakfast,07:15:00,Imran,1.4,15,28,1,15,65,Wallet,Late,4,No,,,,,
91,13-04-2025,C025,Ameerpet,Veg,Dinner,18:20:00,Naveen,7.7,9,49,2,10,250,Card,Delivered,5,No,,,,,
92,25-06-2025,C096,Dilsukhnagar,Veg,Lunch,13:15:00,Suresh,4.5,12,37,1,0,120,UPI,Delivered,3,No,,,,,
93,15-06-2025,C080,Ameerpet,Veg,Dinner,20:10:00,Amit,4.9,14,35,2,10,250,Cash,Late,2,No,,,,,
94,20-04-2025,C058,Dilsukhnagar,Non-Veg,Dinner,21:20:00,Naveen,3.7,18,37,1,15,150,UPI,Delivered,3,No,,,,,
95,17-06-2025,C037,Jubilee Hills,Veg,Dinner,20:00:00,Naveen,8,10,58,2,0,260,UPI,Delivered,4,No,,,,,
96,19-04-2025,C084,Dilsukhnagar,Non-Veg,Dinner,18:10:00,Amit,0.8,17,31,1,10,155,UPI,Delivered,4,No,,,,,
97,20-04-2025,C070,Gachibowli,Veg,Breakfast,07:10:00,Amit,5.1,14,33,2,10,150,Card,Cancelled,0,No,,,,,
98,26-05-2025,C053,Kukatpally,Veg,Breakfast,09:50:00,Vikram,3.4,14,38,1,0,80,Cash,Delivered,5,Yes,,,,,
99,03-05-2025,C129,Banjara Hills,Veg,Lunch,13:10:00,Kiran,5.3,13,42,2,0,240,UPI,Delivered,4,No,,,,,
100,21-05-2025,C104,Miyapur,Veg,Dinner,18:45:00,Naveen,5.2,22,40,3,0,390,Card,Cancelled,0,No,,,,,
101,15-04-2025,C028,Gachibowli,Veg,Lunch,11:40:00,Naveen,2.7,14,36,3,10,350,Wallet,Late,5,No,,,,,
102,07-06-2025,C131,Gachibowli,Non-Veg,Breakfast,10:30:00,Kiran,5.8,17,37,1,0,115,Card,Delivered,4,No,,,,,
103,22-06-2025,C046,Dilsukhnagar,Veg,Breakfast,08:10:00,Imran,7.3,14,43,1,15,65,Wallet,Delivered,0,No,,,,,
104,12-06-2025,C078,Dilsukhnagar,Non-Veg,Dinner,21:40:00,Arun,4.1,16,41,1,0,165,UPI,Delivered,3,No,,,,,
105,16-05-2025,C024,Jubilee Hills,Veg,Dinner,18:30:00,Naveen,6.3,22,48,1,0,130,Wallet,Delivered,3,No,,,,,
106,14-06-2025,C016,Secunderabad,Jain,Dinner,18:50:00,Amit,4.5,22,31,1,0,145,Card,Delivered,5,No,,,,,
107,11-04-2025,C041,Ameerpet,Veg,Dinner,19:00:00,Kiran,5.2,17,36,1,10,120,Card,Cancelled,0,No,,,,,
108,20-05-2025,C073,Kukatpally,Non-Veg,Lunch,13:00:00,Suresh,5.8,13,53,1,0,155,Card,Delivered,3,No,,,,,
109,11-04-2025,C022,Kukatpally,Veg,Dinner,19:40:00,Naveen,2.3,10,38,2,20,240,Card,Delivered,3,No,,,,,
110,17-04-2025,C125,Gachibowli,Veg,Dinner,18:45:00,Vikram,6.2,21,42,1,0,130,Cash,Delivered,5,No,,,,,
111,20-04-2025,C087,Uppal,Veg,Breakfast,09:10:00,Suresh,4.5,12,34,1,20,60,Wallet,Cancelled,0,Yes,,,,,
112,20-04-2025,C073,Dilsukhnagar,Non-Veg,Breakfast,08:15:00,Imran,3,23,29,1,0,115,Cash,Late,5,No,,,,,
113,08-06-2025,C119,Dilsukhnagar,Jain,Breakfast,09:50:00,Arun,2.7,16,33,1,20,75,Wallet,Cancelled,0,No,,,,,
114,04-06-2025,C096,Banjara Hills,Non-Veg,Dinner,21:15:00,Amit,3.3,13,33,2,0,330,UPI,Delivered,2,No,,,,,
115,07-05-2025,C116,Uppal,Veg,Breakfast,08:30:00,Kiran,5,14,31,1,10,70,UPI,Delivered,5,No,,,,,
116,24-05-2025,C086,Dilsukhnagar,Veg,Breakfast,10:40:00,Suresh,5,9,23,4,0,320,Cash,Delivered,2,No,,,,,
117,05-04-2025,C056,LB Nagar,Non-Veg,Lunch,14:15:00,Suresh,2.9,16,33,1,15,140,Wallet,Delivered,5,Yes,,,,,
118,15-04-2025,C029,LB Nagar,Veg,Lunch,12:30:00,Imran,7.7,23,39,1,20,100,UPI,Cancelled,0,No,,,,,
119,20-06-2025,C022,Banjara Hills,Veg,Dinner,19:15:00,Kiran,4.5,11,33,1,0,130,UPI,Delivered,5,No,,,,,
120,07-06-2025,C018,Ameerpet,Non-Veg,Dinner,18:45:00,Vikram,3.9,19,26,1,10,155,UPI,Delivered,4,Yes,,,,,
121,14-06-2025,C123,Manikonda,Veg,Dinner,20:15:00,Suresh,5.6,27,35,1,20,110,Cash,Delivered,5,No,,,,,
122,09-04-2025,C102,LB Nagar,Veg,Dinner,21:00:00,Imran,5.4,22,32,1,0,130,Card,Delivered,4,No,,,,,
123,05-04-2025,C112,Uppal,Veg,Dinner,19:30:00,Naveen,5,18,35,2,20,240,Wallet,Delivered,4,No,,,,,
124,20-05-2025,C021,Begumpet,Veg,Lunch,12:50:00,Suresh,2.8,18,34,1,15,105,Card,Delivered,5,No,,,,,
125,12-05-2025,C090,Secunderabad,Veg,Breakfast,07:40:00,Rahul,7.7,23,57,1,15,65,Card,Late,4,No,,,,,
126,18-06-2025,C041,Madhapur,Veg,Lunch,13:00:00,Suresh,2.8,23,32,1,0,120,Wallet,Cancelled,0,No,,,,,
127,05-04-2025,C040,Manikonda,Non-Veg,Breakfast,07:20:00,Imran,9.3,13,36,1,10,105,Card,Cancelled,0,Yes,,,,,
128,18-05-2025,C048,Secunderabad,Veg,Lunch,11:15:00,Naveen,3.2,8,27,1,20,100,UPI,Delivered,4,No,,,,,
129,04-05-2025,C116,Kondapur,Jain,Lunch,14:20:00,Imran,2.8,18,33,1,10,125,UPI,Delivered,3,No,,,,,
130,27-06-2025,C045,Dilsukhnagar,Veg,Lunch,13:10:00,Kiran,8.6,23,37,1,0,120,Cash,Delivered,5,No,,,,,
131,16-04-2025,C142,Kondapur,Non-Veg,Breakfast,08:20:00,Amit,2.5,20,19,1,15,100,UPI,Cancelled,0,No,,,,,
132,10-05-2025,C116,Secunderabad,Non-Veg,Lunch,14:45:00,Kiran,8.5,25,38,2,0,310,Cash,Delivered,5,No,,,,,
133,10-06-2025,C042,Ameerpet,Veg,Dinner,19:15:00,Vikram,0.8,26,25,3,0,390,Card,Delivered,4,No,,,,,
134,06-06-2025,C024,Banjara Hills,Veg,Lunch,11:30:00,Suresh,7.2,8,34,3,0,360,Cash,Delivered,5,No,,,,,
135,22-04-2025,C054,Dilsukhnagar,Non-Veg,Dinner,20:00:00,Naveen,4.5,18,30,1,0,165,UPI,Late,0,No,,,,,
136,03-06-2025,C016,Kondapur,Veg,Dinner,20:30:00,Imran,5.9,11,35,2,20,240,Wallet,Delivered,4,Yes,,,,,
137,01-06-2025,C103,Kondapur,Veg,Lunch,12:40:00,Kiran,4.8,21,40,1,20,100,UPI,Delivered,5,No,,,,,
138,11-05-2025,C108,Gachibowli,Veg,Breakfast,10:10:00,Suresh,2,8,39,1,0,80,Card,Delivered,4,No,,,,,
139,13-06-2025,C006,Hitech City,Non-Veg,Dinner,20:20:00,Naveen,5.2,13,47,1,15,150,Wallet,Delivered,4,No,,,,,
140,01-05-2025,C028,Begumpet,Veg,Breakfast,09:00:00,Suresh,4.8,25,35,1,20,60,Card,Late,4,No,,,,,
141,17-05-2025,C130,Secunderabad,Veg,Lunch,13:00:00,Arun,9,28,41,1,0,120,UPI,Delivered,5,Yes,,,,,
142,17-04-2025,C129,Madhapur,Non-Veg,Breakfast,10:40:00,Rahul,6.6,21,49,1,0,115,UPI,Delivered,4,No,,,,,
143,18-04-2025,C042,Begumpet,Veg,Dinner,20:50:00,Arun,2.4,22,38,1,15,115,Card,Delivered,4,No,,,,,
144,04-06-2025,C079,Dilsukhnagar,Veg,Dinner,21:30:00,Rahul,0.8,10,12,1,0,130,Wallet,Late,3,No,,,,,
145,04-05-2025,C038,LB Nagar,Veg,Dinner,19:00:00,Vikram,3.9,22,44,1,20,110,UPI,Late,5,No,,,,,
146,13-06-2025,C121,LB Nagar,Veg,Dinner,18:20:00,Rahul,4.7,27,23,1,0,130,Cash,Delivered,5,No,,,,,
147,06-06-2025,C091,Manikonda,Veg,Breakfast,09:50:00,Arun,0.8,17,29,1,0,80,Wallet,Delivered,5,No,,,,,
148,25-04-2025,C126,Ameerpet,Veg,Breakfast,09:30:00,Imran,4.4,8,33,3,0,240,Card,Delivered,5,No,,,,,
149,11-06-2025,C038,Kukatpally,Veg,Dinner,20:30:00,Rahul,1.6,22,31,2,10,250,Card,Delivered,5,No,,,,,
150,11-04-2025,C036,Hitech City,Non-Veg,Lunch,14:30:00,Vikram,2.4,14,21,1,0,140,Cash,Delivered,5,No,,,,,
151,07-04-2025,C002,Banjara Hills,Veg,Dinner,19:20:00,Suresh,4.4,23,25,1,20,110,Wallet,Delivered,3,No,,,,,
152,23-06-2025,C147,Gachibowli,Non-Veg,Lunch,14:20:00,Rahul,5.6,14,29,1,0,155,Cash,Late,2,No,,,,,
153,24-05-2025,C146,Jubilee Hills,Non-Veg,Breakfast,07:45:00,Amit,4.3,11,29,1,20,95,Card,Delivered,5,Yes,,,,,
154,07-05-2025,C066,Miyapur,Non-Veg,Lunch,14:15:00,Suresh,1.9,29,29,1,0,155,UPI,Delivered,4,No,,,,,
155,14-05-2025,C025,Kondapur,Veg,Lunch,12:15:00,Suresh,3,19,30,1,10,110,Wallet,Delivered,4,No,,,,,
156,12-05-2025,C003,Kukatpally,Veg,Breakfast,07:30:00,Kiran,4,21,39,1,0,80,Cash,Delivered,4,No,,,,,
157,08-04-2025,C076,Ameerpet,Veg,Dinner,18:50:00,Vikram,3.3,14,29,1,15,115,Cash,Late,0,No,,,,,
158,18-04-2025,C138,Dilsukhnagar,Non-Veg,Lunch,12:50:00,Vikram,0.8,8,37,1,10,145,Cash,Late,5,No,,,,,
159,27-06-2025,C130,Gachibowli,Veg,Dinner,18:50:00,not avilable any delivery patner,8.1,16,45,1,15,115,Cash,Delivered,3,No,,,,,
160,12-05-2025,C015,Secunderabad,Veg,Dinner,21:10:00,Suresh,5.2,36,44,2,10,250,Wallet,Delivered,5,No,,,,,
161,29-05-2025,C056,Jubilee Hills,Veg,Dinner,18:50:00,Amit,4.2,12,20,1,0,130,UPI,Delivered,4,Yes,,,,,
162,25-05-2025,C035,Dilsukhnagar,Jain,Lunch,11:00:00,Naveen,4.9,13,23,1,10,125,Card,Delivered,4,No,,,,,
163,19-05-2025,C046,Banjara Hills,Veg,Lunch,14:45:00,Naveen,3.1,11,44,3,15,345,Cash,Delivered,5,No,,,,,
164,29-04-2025,C059,Gachibowli,Veg,Breakfast,07:30:00,Imran,6.4,17,49,2,10,150,Card,Cancelled,0,No,,,,,
165,20-04-2025,C009,Secunderabad,Veg,Lunch,12:10:00,Rahul,4.7,12,46,2,15,225,Cash,Delivered,4,Yes,,,,,
166,06-04-2025,C148,Ameerpet,Veg,Lunch,14:20:00,Kiran,5.7,11,34,2,0,240,Cash,Delivered,4,No,,,,,
167,09-05-2025,C110,Banjara Hills,Veg,Breakfast,08:45:00,Imran,2.6,9,37,1,15,65,UPI,Late,5,No,,,,,
168,15-05-2025,C062,LB Nagar,Veg,Dinner,21:40:00,Vikram,8.7,9,46,1,0,130,Card,Delivered,4,No,,,,,
169,19-04-2025,C021,Uppal,Jain,Lunch,11:45:00,Imran,3.1,15,26,1,0,135,Card,Delivered,4,No,,,,,
170,12-04-2025,C144,Gachibowli,Veg,Dinner,19:00:00,Imran,2.6,18,23,2,15,245,Cash,Delivered,5,No,,,,,
171,13-05-2025,C063,Miyapur,Jain,Lunch,11:20:00,Vikram,5.1,17,33,3,0,405,Wallet,Late,5,No,,,,,
172,01-05-2025,C128,Secunderabad,Veg,Dinner,20:30:00,Amit,2.5,14,36,1,0,130,Wallet,Delivered,4,No,,,,,
173,11-05-2025,C150,Jubilee Hills,Veg,Breakfast,09:40:00,Naveen,5.6,12,36,1,0,80,Card,Late,3,No,,,,,
174,20-04-2025,C087,Kukatpally,Veg,Breakfast,09:20:00,Imran,6.2,8,41,2,10,150,Wallet,Cancelled,0,No,,,,,
175,29-05-2025,C016,Banjara Hills,Veg,Breakfast,09:15:00,Rahul,3,21,24,1,0,80,UPI,Cancelled,0,No,,,,,
176,25-06-2025,C117,Ameerpet,Veg,Breakfast,07:45:00,Rahul,0.8,8,26,1,0,80,Wallet,Late,3,No,,,,,
177,24-06-2025,C138,Kukatpally,Veg,Lunch,11:00:00,Rahul,5.1,12,40,1,0,120,Wallet,Cancelled,0,No,,,,,
178,23-04-2025,C096,Begumpet,Veg,Breakfast,07:15:00,Imran,0.8,17,16,1,0,80,Cash,Delivered,4,No,,,,,
179,29-06-2025,C122,Madhapur,Veg,Breakfast,09:10:00,Rahul,3.1,18,24,2,0,160,Cash,Delivered,4,No,,,,,
180,11-04-2025,C059,Gachibowli,Veg,Lunch,14:40:00,Imran,3.7,24,27,2,0,240,Card,Cancelled,0,No,,,,,
181,06-04-2025,C102,Uppal,Veg,Breakfast,09:00:00,Amit,6.3,11,41,2,0,160,Card,Delivered,5,No,,,,,
182,21-04-2025,C021,Banjara Hills,Veg,Dinner,19:45:00,Kiran,7.7,8,34,1,10,120,UPI,Late,3,No,,,,,
183,13-04-2025,C070,Dilsukhnagar,Veg,Lunch,12:10:00,Imran,5.8,16,39,2,15,225,Wallet,Delivered,5,No,,,,,
184,30-04-2025,C064,Miyapur,Veg,Lunch,14:45:00,Amit,3.2,18,30,1,10,110,UPI,Delivered,5,No,,,,,
185,05-05-2025,C093,Dilsukhnagar,Non-Veg,Breakfast,10:15:00,Arun,7.1,19,41,1,0,115,UPI,Delivered,1,No,,,,,
186,17-04-2025,C024,Jubilee Hills,Veg,Breakfast,08:45:00,Kiran,3.6,15,28,1,10,70,Wallet,Delivered,2,No,,,,,
187,02-04-2025,C098,Kondapur,Non-Veg,Lunch,14:45:00,Suresh,5.4,15,38,2,15,295,Card,Delivered,5,No,,,,,
188,09-05-2025,C065,Gachibowli,Veg,Lunch,14:15:00,Imran,9.1,23,40,1,10,110,Cash,Delivered,4,Yes,,,,,
189,29-05-2025,C086,Begumpet,Veg,Breakfast,08:30:00,Suresh,7.1,15,22,1,15,65,Card,Delivered,5,No,,,,,
190,12-05-2025,C148,Dilsukhnagar,Veg,Dinner,19:50:00,Vikram,2.3,8,26,3,0,390,Card,Delivered,5,No,,,,,
191,19-05-2025,C141,Madhapur,Veg,Lunch,14:40:00,Imran,4.5,28,36,1,15,105,Cash,Cancelled,0,No,,,,,
